Collection,Text Name,Alternative Text Names,Author Name,Alternative Author Names,File Size (kb),Link 1 (main),Link 2 (underlying),Link 3 (extract),Work ID,Author ID
GRETIL,Kāvyaprakaśa,,Maṃmaṭa,Mammaṭa,267.2,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/1_alam/mamkavpu.htm,,,41242,40258
GRETIL,Kāvyaprakaśa,,Maṃmaṭa,Mammaṭa,233.1,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/1_alam/mamkpb_u.htm,,,41242,40258
GRETIL,Kāvyaprakaśa,,Maṃmaṭa,Mammaṭa,17.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/1_alam/mamkprku.htm,,,41242,40258
GRETIL,Bhāvaprakāśa,,Bhāvamiśra,,53.7,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/bhavpr_u.htm,,,41312,40352
GRETIL,Kumārasambhava,,Kālidāsa,,91.9,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/kakumspu.htm,,,41324,40377
GRETIL,Vāsavadattā,,Subandhu,,78.3,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/suvasavu.htm,,,41327,108801
GRETIL,Vīramitrodaya: Samayaprakāśa,,Mitramiśra,,566.2,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/4_dharma/smrti/mvir_sau.htm,,,41387,40658
GRETIL,Rājanighaṇṭu,"Nighaṇṭurāja, Abhidhānacūḍāmaṇi",Narahari,Nṛsiṃha,505.5,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/rajnighu.htm,,,41414,40475
GRETIL,Carakasaṃhitā,,Caraka,,381.9,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/caraka_u.htm,,,41458,44727
GRETIL,Aṣṭāṅgahṛdayasaṃhitā,Aṣṭāṅgahṛdayasūtra,Vāgbhaṭa,,1170.6,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/vagaah_u.htm,,,41478,44699
GRETIL,Raghuvaṃśa,,Kālidāsa,,246.5,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/kragh_pu.htm,,,41500,40377
GRETIL,Raghuvaṃśa,,Kālidāsa,,74.5,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ragh1-6u.htm,,,41500,40377
GRETIL,Amarakośa,Nāmaliṅgānuśāsana,Amarasiṃha,,39.5,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/2_lex/amark1pu.htm,,,41506,109572
GRETIL,Amarakośa,Nāmaliṅgānuśāsana,Amarasiṃha,,98.2,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/2_lex/amark2_u.htm,,,41506,109572
GRETIL,Amarakośa,Nāmaliṅgānuśāsana,Amarasiṃha,,68.3,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/2_lex/amark3_u.htm,,,41506,109572
GRETIL,Aṣṭādhyāyī,,Pāṇini,,152.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/1_gram/panini_u.htm,,,41541,40604
GRETIL,Aṣṭādhyāyī,,Pāṇini,,169,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/1_gram/paninipu.htm,,,41541,40604
GRETIL,Mahābhāṣya,Vyākaraṇamahābhāṣya,Patañjali,,2628.2,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/1_gram/pmbhasuu.htm,,,41543,40606
GRETIL,Kāśikāvṛtti,,"Jayāditya, Vāmana",,2046.2,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/1_gram/jvkasipu.htm,,,41544,"40608, 40607"
GRETIL,Paribhāṣenduśekhara,,Nāgeśa,"Nāgojibhaṭṭa, Nāgeśabhaṭṭa",148.1,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/1_gram/paribhsu.htm,,,41663,40667
GRETIL,Rasagaṅgādhara,,Jagannātha Paṇḍitarāja,,147.9,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/1_alam/jgrasg1u.htm,,,41668,40709
GRETIL,Rasaratnasamuccaya,,Vāgbhaṭa,,162.1,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/vrasrs_u.htm,,,41893,40839
GRETIL,Rasaratnasamuccaya,,Vāgbhaṭa,,472.9,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/vrasrscu.htm,,,41893,40839
