"Content type",ID,Title,"First year of activity (Active from)","First year of activity attributes (Active from note)","Last year of activity (Active until)","Last year of activity attributes (Active until note)",Aka,Gender,"Social identifiers","Year born","Year born note","Year died","Year died note","Site born ID","Site born","Site died ID","Site died","First regnal year","Reigned from note","Reigned until","Reigned until notes","Been to (site IDs)","Been to (site)","Father ID",Father,"Mother ID",Mother,"Siblings IDs",Siblings,"Spouses ID",Spouses,"Teachers IDs",Teachers,"Knew (person ID)","Knew (person)","Patron ID",Patrons,"Influenced by (person ID)","Influenced by (person)","Affiliated with (institutions IDs)","Affiliated with (Institution)","Refs to refbooks","Scholarship (print ID)",Scholarship,"More facts","Author (person IDs)","Authors (person)","Attributed author (person ID)","Attributed author (person)",Structure,Discipline,Genres,Year,"Year note",Availability,Length,"Manuscript distribution","Composed in (site ID)","Composed in (site)","Sponsored by (institution IDs)","Sponsored by (institution)","Sponsors (person ID)","Sponsor (person)","Commentary on (work ID)","Commentary on (work)","Mentions (work ID)","Mentions (work)","Text reused","Text reused (work ID)","Mentioned (person ID)","Site mentioned ID","Mentioned person","Site mentioned","Edition (print ID)","Edition (print)","Manuscript reference","Highest Year","Lowest Year"
Work,94687,"1 Edited e441.1.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87051,"Suddhānanda Pathak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work,94401,"1.2 Edited Ajmer 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86875,"Bhagīratha Maithili Jhā",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work,89073,"3 Edited and translated in Raffaele Torella, ""The Svabodhodayamañjarī, orhow to suppress the mind with no effort"", Haranandalahari 387-410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work,92233,"73.2 Mānameyodaya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIP 16, 2014, 508-514",,,,86182,Nārāyaṇa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work,113790,"Aaryatārā Śatanāmṣṭasataka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stotra,,,,,,,,,,,,,,,,,,,,,,,,,,
Work,95433,Ābdamālikā,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NCC I, 271",,,,87684,"Raṅgācārya of Kauśikagotra",,,,"Viśiṣṭādvaita Vedānta",,,,,,,,,,,,,,,,,,,,,,,,,,,
Work,105236,Abdaprabodha,,,,,Bhojadevasaṅgraha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jyotiḥśāstra,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work,92271,Abhāvādhikaraṇavāda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NCC I, 281",,,,86189,"Gadādhara Bhaṭṭācārya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work,93781,Abhāvapadārthakhaṇḍana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NCC I, 281",,,,86595,Śivacandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work,93812,Abhāvarahasya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NCC I, 281",,,,86611,Uddhavasiṃha,,,,Nyāya,,,,,,,,,,,,,,,,,,,,,,,67385,"Banaras 1885",,,
