Content type,ID,Name,Aka,Social identifiers,Authors (IDs),Authors (names),Discipline,Base texts (IDs),Base texts (names),Highest Year,Lowest Year
Work,94687,1 Edited e441.1.20,,,87051,Suddhānanda Pathak,,,,,
Work,94401,1.2 Edited Ajmer 2008,,,86875,Bhagīratha Maithili Jhā,,,,,
Work,89073,"3 Edited and translated in Raffaele Torella, ""The Svabodhodayamañjarī, orhow to suppress the mind with no effort"", Haranandalahari 387-410",,,,,,,,,
Work,92233,73.2 Mānameyodaya,,,86182,Nārāyaṇa,,,,,
Work,113790,Aaryatārā Śatanāmṣṭasataka,,,,,,,,,
Work,95433,Ābdamālikā,,,87684,Raṅgācārya of Kauśikagotra,Viśiṣṭādvaita Vedānta,,,,
Work,105236,Abdaprabodha,Bhojadevasaṅgraha,,,,Jyotiḥśāstra,,,,
Work,92271,Abhāvādhikaraṇavāda,,,86189,Gadādhara Bhaṭṭācārya,,,,,
Work,93781,Abhāvapadārthakhaṇḍana,,,86595,Śivacandra,,,,,
Work,93812,Abhāvarahasya,,,86611,Uddhavasiṃha,Nyāya,,,,
Work,93218,Abhāvavāda,,,86419,Dāmodara,Nyāya,,,,
Work,94646,Abhāvavimarśa,,,87017,Dīpaka Hoṣa,Nyāya,,,,
Person,85575,Abhayacandra,Abhayacandra (Siddhānta) Cakravartin,Siddhānta,,,,,,1290,1290
Person,85384,Abhayadeva Sūri,,Sūri,,,,,,1080,1080
Person,115892,Abhayākara Gupta,,,,,,,,,
Person,85411,Abhayākaragupta,,,,,,,,1109,1109
Work,115574,Abhayakāri dhāraṇī,,,,,Buddhism (general),,,,
Work,89572,Abhayamātratattvasāra,,,85454,Gorakṣanātha,Yoga,,,,
Work,116294,Abhayaṃkarī dhāraṇī,,,,,Buddhism (general),,,,
Work,115469,Abhayaṃkarīnāma-dhāraṇī,,,,,Buddhism (general),,,,
Work,90168,Abhayapradānasāra,,,85613,Vedāntadeśika,,,,,
Person,98122,Abhayarāmabhaṭa,Abhayarāmabhaṭṭa,,,,,,,,
Person,85557,Abhayatilaka,"Abhayatilaka (Upādhyāya), Abhayatilakagaṇi",Upādhyāya,,,,,,1256,1256
Person,87040,Abheda Nanda Bhaṭṭācārya,,Bhaṭṭācārya,,,,,,1994,1994
Person,87057,Abheda Upādhyāya,,Upādhyāya,,,,,,,
Work,95510,Abhedakārikā,Abhedārthakārikā,,87752,Siddhanātha,Kashmir Śaivism,,,,
Work,90307,Abhedakhaṇḍana,,,85637,Kumāra Vedānta Deśika,Viśiṣṭādvaita Vedānta,,,,
Work,94132,Abhedakhaṇḍana,,,86739,Prativādibhayaṅkar Anantācārya,,,,,
Work,95140,Abhedamaṇḍana,,,87433,Kṛṣṇa Śāstrin,Advaita + Vyākaraṇa,,,,
Work,95248,Abhidhamma Sammohavinodinī,,,87523,Ñānakitti,,,,,
Work,89450,Abhidhammatthasaṅgaha,,,85413,Anuruddha,Abhidharma / Theravāda,,,,
Work,88339,Abhidhammāvatāra,,,85136,Buddhadatta,Abhidharma / Theravāda,,,,
Work,113083,Abhidhānacintāmaṇi,Abhidhānacintāmaṇināmamālā,,85489,Hemacandra,Kośaśāstra,,,,
Work,41887,Abhidhānakāmadhenu,,,,,,,,,
Work,42352,Abhidhānamañjarī,,,40970,Bhiṣagārya,Vaidyaśāstra,,,,
Work,42024,Abhidhānaratnamālā,,,,,,,,,
Work,109579,Abhidhānaratnamālā,"Halāyudha-kośa, Halāyudha-nāmamālā",,109577,Bhaṭṭa Halāyudha,Kośaśāstra,,,950,950
Work,41771,Abhidhānaratnamālā ṭīkā,,,,,Vaidyaśāstra,,,,
